percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
36.81	-1.658	51.000	0.000	-1.634	-1.741	-0.879	1.691	-2.154	-1.603	2.997	-1.634	-1.691	-1.616	0.346
37.50	-1.571	51.000	0.000	-1.644	-1.527	1.584	1.668	-2.125	-1.642	2.784	2.186	-1.668	-1.645	0.386
38.19	-1.484	51.000	0.000	-1.441	-1.506	-1.090	1.541	-2.414	-1.441	2.763	-1.423	-1.541	-1.356	0.185
38.89	-1.396	51.000	0.000	-1.413	-1.382	1.585	1.421	-2.322	-1.404	2.639	2.185	-1.421	-1.448	0.148
39.58	-1.309	51.000	0.000	-1.333	-1.384	-1.010	1.333	-2.526	-1.218	2.641	-1.503	-1.333	-1.244	-0.039
40.28	-1.222	51.000	0.000	-1.255	-1.239	-1.171	1.215	-2.466	-1.270	2.496	-1.342	-1.215	-1.304	0.014
40.97	-1.134	51.000	0.000	-1.173	-1.054	1.551	1.117	-2.541	-1.251	2.310	2.219	-1.117	-1.229	-0.005
41.67	-1.047	51.000	0.000	-1.034	-1.000	1.777	1.081	-2.775	-1.068	2.256	1.993	-1.081	-0.994	-0.188
42.36	-0.960	51.000	0.000	-0.875	-0.960	-0.860	0.928	-2.881	-0.718	2.217	-1.653	-0.928	-0.889	-0.539
43.06	-0.873	51.000	0.000	2.100	-0.868	-1.064	0.950	-3.050	2.951	2.125	-1.450	-0.950	-0.720	2.076
43.75	-0.785	51.000	0.000	-0.808	-0.813	-0.650	0.741	-2.962	-0.926	2.070	-1.864	-0.741	-0.808	-0.331
44.44	-0.698	51.000	0.000	-0.700	-0.753	-0.657	0.731	-3.100	2.775	2.010	-1.856	-0.731	-0.670	2.252
45.14	-0.611	51.000	0.000	-0.562	-0.562	-0.587	0.528	-3.132	-0.918	1.819	-1.926	-0.528	-0.638	-0.338
45.83	-0.524	51.000	0.000	-0.502	-0.489	-0.516	0.628	2.912	2.733	1.746	-1.997	-0.628	-0.399	2.294
46.53	-0.436	51.000	0.000	-0.477	-0.379	-0.489	0.465	2.915	-0.757	1.635	-2.024	-0.465	-0.402	-0.500
47.22	-0.349	51.000	0.000	-0.375	-0.385	-0.365	0.457	2.808	2.692	1.642	-2.149	-0.457	-0.295	2.335
47.92	-0.262	51.000	0.000	-0.314	-0.376	-0.221	0.379	2.778	-0.943	1.632	-2.292	-0.379	-0.265	-0.314
48.61	-0.175	51.000	0.000	-0.158	-0.065	-0.216	2.892	2.731	-1.156	1.322	-2.297	-2.892	-0.218	-0.100
49.31	-0.087	51.000	0.000	-0.132	-0.067	-0.154	0.229	2.645	-1.205	1.323	-2.359	-0.229	-0.132	-0.052
50.00	0.000	51.000	0.000	0.089	0.119	-0.026	0.241	2.478	-1.315	1.137	-2.487	-0.241	0.035	0.058
50.69	0.087	51.000	0.000	0.086	0.112	0.005	0.167	2.486	-1.342	1.145	-2.518	-0.167	0.027	0.086
51.39	0.175	51.000	0.000	0.154	0.059	0.221	2.978	2.394	-1.446	1.198	-2.734	-2.978	0.119	0.190
